ind,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply,TotalCoinSupply_orig,sort_orig
BM,BitMoon,X13,TRUE,PoS,,100000000,100000000.00,431
FRWC,Frankywillcoin,Scrypt,TRUE,PoW/PoS,100000000,100000000,100000000.00,432
PSY,Psilocybin,SHA-256D,TRUE,PoW/PoS,,4214600,4214600.00,433
RUST,RustCoin,Scrypt,TRUE,PoW/PoS,,21212121,21212121.00,434
NZC,NewZealandCoin,Scrypt,TRUE,PoW,,335800000,335800000.00,435
XPOKE,PokeChain,X13,TRUE,PoS,,75000000,75000000.00,436
MUDRA,MudraCoin,X13,TRUE,PoS,5000000,200000000,200000000.00,437
PIZZA,PizzaCoin,X11,TRUE,PoW,1377917,25000000,25000000.00,438
LC,Lutetium Coin,X11,TRUE,PoS,657000000,657000000,657000000.00,439
EXB,ExaByte (EXB),SHA-256,TRUE,PoW,,500000000,500000000.00,440
KMD,Komodo,Equihash,TRUE,dPoW/PoW,115898131,200000000,200000000.00,441
GB,GoldBlocks,X11,TRUE,PoW/PoS,15563873,50000000,50000000.00,442
EDC,EDC Blockchain,SHA-256,TRUE,DPoS/LPoS,,5352058722,5352058722.00,443
WAY,WayCoin,X11,TRUE,PoS,0,100000000,100000000.00,444
TAB,MollyCoin,Scrypt,TRUE,PoW/PoS,,25000000,25000000.00,445
STO,Save The Ocean,X11,TRUE,PoW/PoS,,150000000,150000000.00,446
CTC,CarterCoin,Scrypt,TRUE,PoW/PoS,43165500,90000000,90000000.00,447
TOT,TotCoin,Scrypt,TRUE,PoW/PoS,,1613150000,1613150000.00,448
MDC,MedicCoin,Scrypt,TRUE,PoW/PoS,,33000000,33000000.00,449
FTP,FuturePoints,X11,TRUE,PoS,,360000000,360000000.00,450
ZET2,Zeta2Coin,Quark,TRUE,PoW/PoS,,1200000,1200000.00,451
CVNC,CovenCoin,SHA-256,TRUE,PoW/PoS,,33000,33000.00,452
KRB,Karbo,CryptoNight,TRUE,PoW,7822432.724,10000000,10000000.00,453
TELL,Tellurion,X11,TRUE,PoW/PoS,,3652422000,3652422000.00,454
BXT,BitTokens,SHA-256,TRUE,PoW/PoS,595429,21000000,21000000.00,455
ZYD,ZayedCoin,SHA-256,TRUE,PoW,6243840,9736000,9736000.00,456
MST,MustangCoin,X11,TRUE,PoW/PoS,657636.3455,3000000,3000000.00,457
GOON,Goonies,Scrypt,TRUE,PoW,,270875968,270875968.00,458
ZNE,ZoneCoin,Scrypt,TRUE,PoW/PoS,2581970,21000000,21000000.00,459
COVAL,Circuits of Value,Multiple,TRUE,PoW,1000000000,1200000000,1200000000.00,460
DGDC,DarkGold,X13,TRUE,PoW/PoS,,1000000,1000000.00,461
TODAY,TodayCoin,Scrypt,TRUE,PoW,,39200000,39200000.00,462
ROOT,RootCoin,Scrypt,TRUE,PoW/PoS,1939889,0,0.00,463
DOPE,DopeCoin,Scrypt,TRUE,PoW,116845228,200000000,200000000.00,464
FX,FCoin,Scrypt,TRUE,PoW/PoS,,987600000,987600000.00,465
PIO,Pioneershares,X11,TRUE,PoW/PoS,,200000,200000.00,466
PROUD,PROUD Money,X11,TRUE,PoW/PoS,0,10000000000,10000000000.00,467
SMSR,Samsara Coin,QuBit,TRUE,PoW/PoS,,60000000,60000000.00,468
UBIQ,Ubiqoin,Progressive-n,TRUE,PoS,,500000000,500000000.00,469
ARM,Armory Coin,Scrypt,TRUE,PoW/PoS,,1990000000,1990000000.00,470
RING,RingCoin,Scrypt,TRUE,PoW/PoS,,1900000000,1900000000.00,471
LAZ,Lazarus,DPoS,TRUE,DPoS,,10000000,10000000.00,472
BTCR,BitCurrency,Scrypt,TRUE,PoS,169598616,0,0.00,473
FCTC,FaucetCoin,X13,FALSE,PoS,,10000,10000.00,474
MOOND,Dark Moon,Scrypt,TRUE,PoW/PoS,,420000000,420000000.00,475
DLC,DollarCoin,SHA-256,TRUE,PoW,9106714,10638298,10638298.00,476
SCN,Swiscoin,Scrypt,TRUE,PoW/PoW,665200057,3100000000,3100000000.00,477
BRONZ,BitBronze,Scrypt,TRUE,PoW,,4502400,4502400.00,478
SH,Shilling,Scrypt,TRUE,PoW,11119200,30000000,30000000.00,479
BUZZ,BuzzCoin,SHA-256D,TRUE,PoW/PoS,19577787259,20000000000,20000000000.00,480
MG,Mind Gene,SHA-256,TRUE,PoW/PoS,,7500000000,7500000000.00,481
PSI,PSIcoin,X11,TRUE,PoS,,696969,696969.00,482
XPO,Opair,PoS,TRUE,PoS,74033806.79,74000000,74000000.00,483
PSB,PesoBit,Scrypt,TRUE,PoW/PoS,33522957,0,0.00,484
FIT,Fitcoin,X11,TRUE,PoW/PoS,,90000000,90000000.00,485
PINKX,PantherCoin,Scrypt,TRUE,PoW/PoS,,735000000,735000000.00,486
UNF,Unfed Coin,Scrypt,TRUE,PoW,,67000000,67000000.00,487
SPORT,SportsCoin,X11,TRUE,PoS,,20000000,20000000.00,488
NTC,NineElevenTruthCoin,Scrypt,TRUE,PoW/PoS,,130528084,130528084.00,489
EGO,EGOcoin,PoS,TRUE,PoS,,60000000,60000000.00,490
GBRC,GBR Coin,Scrypt,TRUE,PoW,0,87500000,87500000.00,491
HALLO,Halloween Coin,X11,TRUE,PoW/PoS,264678458.3,1500000000,1500000000.00,492
BBCC,BaseballCardCoin,Scrypt,TRUE,PoW/PoS,,19000000,19000000.00,493
EMIGR,EmiratesGoldCoin,SHA-256,FALSE,PoW,,4000000,4000000.00,494
BHC,BighanCoin,Quark,TRUE,PoW,,411000000,411000000.00,495
CRAFT,Craftcoin,Scrypt,TRUE,PoW/PoS,,49411760,49411760.00,496
OLYMP,OlympCoin,X11,TRUE,PoW/PoS,,50000000,50000000.00,497
DPAY,DelightPay,X13,TRUE,PoW/PoS,,90400000,90400000.00,498
ANTC,AntiLitecoin,Scrypt,FALSE,PoW,,84000000,84000000.00,499
JOBS,JobsCoin,X11,TRUE,PoW/PoS,,20000000000,20000000000.00,500
DGORE,DogeGoreCoin,X11,TRUE,PoW/PoS,,500000000,500000000.00,501
RMS,Resumeo Shares,NIST5,TRUE,PoS,,9188302,9188302.00,502
